,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_Q,Embarked_S
0,892,0,3,0,34.5,0,0,0,7.8292,1,0
1,893,1,3,1,47.0,1,0,1,7.0,0,1
2,894,0,2,0,62.0,0,0,2,9.6875,1,0
3,895,0,3,0,27.0,0,0,3,8.6625,0,1
4,896,1,3,1,22.0,1,1,4,12.2875,0,1
5,897,0,3,0,14.0,0,0,5,9.225,0,1
6,898,1,3,1,30.0,0,0,6,7.6292,1,0
7,899,0,2,0,26.0,1,1,7,29.0,0,1
8,900,1,3,1,18.0,0,0,8,7.2292,0,0
9,901,0,3,0,21.0,2,0,9,24.15,0,1
10,902,0,3,0,27.0,0,0,10,7.8958,0,1
11,903,0,1,0,46.0,0,0,11,26.0,0,1
12,904,1,1,1,23.0,1,0,12,82.2667,0,1
13,905,0,2,0,63.0,1,0,13,26.0,0,1
14,906,1,1,1,47.0,1,0,14,61.175,0,1
15,907,1,2,1,24.0,1,0,15,27.7208,0,0
16,908,0,2,0,35.0,0,0,16,12.35,1,0
17,909,0,3,0,21.0,0,0,17,7.225,0,0
18,910,1,3,1,27.0,1,0,18,7.925,0,1
19,911,1,3,1,45.0,0,0,19,7.225,0,0
20,912,0,1,0,55.0,1,0,20,59.4,0,0
21,913,0,3,0,9.0,0,1,21,3.1708,0,1
22,914,1,1,1,27.0,0,0,22,31.6833,0,1
23,915,0,1,0,21.0,0,1,23,61.3792,0,0
24,916,1,1,1,48.0,1,3,24,262.375,0,0
25,917,0,3,0,50.0,1,0,25,14.5,0,1
26,918,1,1,1,22.0,0,1,26,61.9792,0,0
27,919,0,3,0,22.5,0,0,27,7.225,0,0
28,920,0,1,0,41.0,0,0,28,30.5,0,1
29,921,0,3,0,27.0,2,0,29,21.6792,0,0
30,922,0,2,0,50.0,1,0,30,26.0,0,1
31,923,0,2,0,24.0,2,0,31,31.5,0,1
32,924,1,3,1,33.0,1,2,32,20.575,0,1
33,925,1,3,1,27.0,1,2,33,23.45,0,1
34,926,0,1,0,30.0,1,0,34,57.75,0,0
35,927,0,3,0,18.5,0,0,35,7.2292,0,0
36,928,1,3,1,27.0,0,0,36,8.05,0,1
37,929,1,3,1,21.0,0,0,37,8.6625,0,1
38,930,0,3,0,25.0,0,0,38,9.5,0,1
39,931,0,3,0,27.0,0,0,39,56.4958,0,1
40,932,0,3,0,39.0,0,1,40,13.4167,0,0
41,933,0,1,0,27.0,0,0,41,26.55,0,1
42,934,0,3,0,41.0,0,0,42,7.85,0,1
43,935,1,2,1,30.0,0,0,43,13.0,0,1
44,936,1,1,1,45.0,1,0,44,52.5542,0,1
45,937,0,3,0,25.0,0,0,45,7.925,0,1
46,938,0,1,0,45.0,0,0,46,29.7,0,0
47,939,0,3,0,27.0,0,0,47,7.75,1,0
